Домашняя команда,Гостевая команда,Дата,Стадион,Город,home_score,guest_score
Уотфорд,Норвич,21.01.2022,Викарэйдж Роуд,Уотфорд,0,3
Эвертон,Астон,22.01.2022,Гудисон Парк,Ливерпуль,0,1
Манчестер,Юнайтед,22.01.2022,Олд Траффорд,Манчестер,1,0
Лидс,Юнайтед,22.01.2022,Элланд Роуд,Лидс,0,1
Брентфорд,Вулверхэмптон,22.01.2022,Брентфорд Коммьюнити,Брентфорд,1,2
Саутгемптон,Манчестер,22.01.2022,Сент-Мэри,Саутгемптон,1,1
Лестер,Сити,23.01.2022,Кинг Пауэр,Лестер,1,1
Арсенал,Англия,23.01.2022,Эмирейтс - Эшбертон Гроув,Лондон,0,0
Кристал,Пэлас,23.01.2022,Селхерст Парк,Лондон,1,3
Челси,Тоттенхэм,23.01.2022,Стэмфорд Бридж,Лондон,2,0
Уотфорд,Англия,05.02.2022,Тёрф Мур,Бернли,0,0
Ньюкасл,Юнайтед,08.02.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,3,1
Вест,Хэм,08.02.2022,Олимпийский,Лондон,1,0
Манчестер,Юнайтед,08.02.2022,Тёрф Мур,Бернли,1,1
Манчестер,Сити,09.02.2022,Этихад (Сити оф Манчестер),Манчестер,2,0
Тоттенхэм,Хотспур,09.02.2022,Тоттенхэм Хотспур,Лондон,2,3
Норвич,Сити,09.02.2022,Кэрроу Роуд,Норидж,1,1
Астон,Вилла,09.02.2022,Вилла Парк,Бирмингем,3,3
Ливерпуль,Лестер,10.02.2022,Энфилд,Ливерпуль,2,0
Вулверхэмптон,Арсенал,10.02.2022,Молине,Вулверхэмптон,0,1
Манчестер,Юнайтед,12.02.2022,Олд Траффорд,Манчестер,1,1
Уотфорд,Брайтон,12.02.2022,Викарэйдж Роуд,Уотфорд,0,2
Эвертон,Лидс,12.02.2022,Гудисон Парк,Ливерпуль,3,0
Брентфорд,Кристал,12.02.2022,Брентфорд Коммьюнити,Брентфорд,0,0
Норвич,Сити,12.02.2022,Кэрроу Роуд,Норидж,0,4
Тоттенхэм,Хотспур,13.02.2022,Тоттенхэм Хотспур,Лондон,0,2
Ливерпуль,Англия,13.02.2022,Тёрф Мур,Бернли,0,1
Ньюкасл,Юнайтед,13.02.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,1,0
Лестер,Сити,13.02.2022,Кинг Пауэр,Лестер,2,2
Манчестер,Юнайтед,15.02.2022,Олд Траффорд,Манчестер,2,0
Вест,Хэм,19.02.2022,Олимпийский,Лондон,1,1
Арсенал,Брентфорд,19.02.2022,Эмирейтс - Эшбертон Гроув,Лондон,2,1
Астон,Вилла,19.02.2022,Вилла Парк,Бирмингем,0,1
Брайтон,Хоув,19.02.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,3
Ливерпуль,Норвич,19.02.2022,Энфилд,Ливерпуль,3,1
Кристал,Пэлас,19.02.2022,Селхерст Парк,Лондон,0,1
Саутгемптон,Эвертон,19.02.2022,Сент-Мэри,Саутгемптон,2,0
Манчестер,Сити,19.02.2022,Этихад (Сити оф Манчестер),Манчестер,2,3
Лидс,Юнайтед,20.02.2022,Элланд Роуд,Лидс,2,4
Вулверхэмптон,Лестер,20.02.2022,Молине,Вулверхэмптон,2,1
Тоттенхэм,Хотспур,23.02.2022,Тёрф Мур,Бернли,1,0
Уотфорд,Кристал,23.02.2022,Викарэйдж Роуд,Уотфорд,1,4
Ливерпуль,Лидс,23.02.2022,Энфилд,Ливерпуль,6,0
Арсенал,Вулверхэмптон,24.02.2022,Эмирейтс - Эшбертон Гроув,Лондон,2,1
Саутгемптон,Норвич,25.02.2022,Сент-Мэри,Саутгемптон,2,0
Лидс,Юнайтед,26.02.2022,Элланд Роуд,Лидс,0,4
Манчестер,Юнайтед,26.02.2022,Олд Траффорд,Манчестер,0,0
Брентфорд,Ньюкасл,26.02.2022,Брентфорд Коммьюнити,Брентфорд,0,2
Кристал,Пэлас,26.02.2022,Селхерст Парк,Лондон,1,1
Брайтон,Хоув,26.02.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,2
Эвертон,Манчестер,26.02.2022,Гудисон Парк,Ливерпуль,0,1
Вест,Хэм,27.02.2022,Олимпийский,Лондон,1,0
Лестер,Сити,01.03.2022,Тёрф Мур,Бернли,0,2
Лестер,Сити,05.03.2022,Кинг Пауэр,Лестер,1,0
Вулверхэмптон,Кристал,05.03.2022,Молине,Вулверхэмптон,0,2
Норвич,Сити,05.03.2022,Кэрроу Роуд,Норидж,1,3
Челси,Англия,05.03.2022,Тёрф Мур,Бернли,0,4
Астон,Вилла,05.03.2022,Вилла Парк,Бирмингем,4,0
Ньюкасл,Юнайтед,05.03.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,1
Ливерпуль,Вест,05.03.2022,Энфилд,Ливерпуль,1,0
Уотфорд,Арсенал,06.03.2022,Викарэйдж Роуд,Уотфорд,2,3
Манчестер,Сити,06.03.2022,Этихад (Сити оф Манчестер),Манчестер,4,1
Тоттенхэм,Хотспур,07.03.2022,Тоттенхэм Хотспур,Лондон,5,0
Саутгемптон,Ньюкасл,10.03.2022,Сент-Мэри,Саутгемптон,1,2
Вулверхэмптон,Уотфорд,10.03.2022,Молине,Вулверхэмптон,4,0
Норвич,Сити,10.03.2022,Кэрроу Роуд,Норидж,1,3
Лидс,Юнайтед,10.03.2022,Элланд Роуд,Лидс,0,3
Брайтон,Хоув,12.03.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,2
Брентфорд,Англия,12.03.2022,Брентфорд Коммьюнити,Брентфорд,2,0
Манчестер,Юнайтед,12.03.2022,Олд Траффорд,Манчестер,3,2
Вест,Хэм,13.03.2022,Олимпийский,Лондон,2,1
Саутгемптон,Уотфорд,13.03.2022,Сент-Мэри,Саутгемптон,1,2
Эвертон,Вулверхэмптон,13.03.2022,Гудисон Парк,Ливерпуль,0,1
Челси,Ньюкасл,13.03.2022,Стэмфорд Бридж,Лондон,1,0
Лидс,Юнайтед,13.03.2022,Элланд Роуд,Лидс,2,1
Арсенал,Лестер,13.03.2022,Эмирейтс - Эшбертон Гроув,Лондон,2,0
Кристал,Пэлас,14.03.2022,Селхерст Парк,Лондон,0,0
Брайтон,Хоув,16.03.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,2
Арсенал,Ливерпуль,16.03.2022,Эмирейтс - Эшбертон Гроув,Лондон,0,2
Эвертон,Ньюкасл,17.03.2022,Гудисон Парк,Ливерпуль,1,0
